Project Name,Project ID,Created Date,Last Modified Date , Status ,# of Files in Deposit ,Total File Size ,,,,,,
  Replication data for: Unhealthy Insurance Markets: Search Frictions and the Cost and Quality of Health Insurance  ,112448,  2011-08-01T00:00:00  ,  2019-10-11T19:59:25.351Z  ,  PUBLISHED  ,9,190539550,,,,,,
  Replication data for: Estimating Time Preferences from Convex Budgets  ,112569,  2012-12-01T00:00:00  ,  2019-10-11T22:02:43.058Z  ,  PUBLISHED  ,34,5787731,,,,,,
  Replication data for: Currency Choice and Exchange Rate Pass-Through  ,112327,  2010-03-01T00:00:00  ,  2019-10-11T18:32:51.316Z  ,  PUBLISHED  ,5,1526744,,,,,,
  Replication data for: Education and Labor Market Discrimination  ,112436,  2011-06-01T00:00:00  ,  2019-10-11T19:51:38.556Z  ,  PUBLISHED  ,7,18239503,,,,,,
  Replication data for: Trade Costs  Asset Market Frictions  and Risk Sharing  ,112557,  2012-05-01T00:00:00  ,  2019-10-11T21:56:51.243Z  ,  PUBLISHED  ,11,121570342,,,,,,
  Replication data for: Promoting Recycling: Private Values  Social Norms and Economic Incentives  ,112424,  2011-05-01T00:00:00  ,  2019-10-11T19:47:27.674Z  ,  PUBLISHED  ,6,155578,,,,,,
  Replication data for: Industrial Structure and Capital Flows  ,112545,  2012-05-01T00:00:00  ,  2019-10-11T21:46:24.442Z  ,  PUBLISHED  ,69,157731072,,,,,,
  Replication data for: Deferred Compensation in Multiperiod Labor Contracts: An Experimental Test of Lazear's Model  ,112412,  2011-04-01T00:00:00  ,  2019-10-11T19:43:15.169Z  ,  PUBLISHED  ,28,3115055,,,,,,
  Replication data for: The Finnish Great Depression: From Russia with Love  ,112533,  2012-06-01T00:00:00  ,  2019-10-11T21:40:08.637Z  ,  PUBLISHED  ,100,1617080,,,,,,
  Replication data for: Inflation and Unemployment in the Long Run  ,112400,  2011-02-01T00:00:00  ,  2019-10-11T19:12:53.778Z  ,  PUBLISHED  ,15,4225936,,,,,,
  Replication data for: The Poverty Gap in School Spending Following the Introduction of Title I  ,112630,  2013-05-01T00:00:00  ,  2019-10-11T22:35:16.903Z  ,  PUBLISHED  ,4,94978,,,,,,
  Replication data for: Intergenerational Occupational Mobility in Great Britain and the United States since 1850  ,112642,  2013-06-01T00:00:00  ,  2019-10-11T22:40:10.046Z  ,  PUBLISHED  ,83,102748307,,,,,,
  Replication data for: Trade  Tastes  and Nutrition in India  ,112654,  2013-08-01T00:00:00  ,  2019-10-11T22:47:40.076Z  ,  PUBLISHED  ,32,8206026,,,,,,
  Replication data for: Intergenerational Occupational Mobility in Great Britain and the United States since 1850: Comment  ,112666,  2013-08-01T00:00:00  ,  2019-10-11T23:02:19.443Z  ,  PUBLISHED  ,5,112354,,,,,,
  Virtue Signaling: Using Risk Preferences to Signal Trustworthiness  ,111105,  2019-08-05T15:47:04  ,  2019-08-05T19:47:04.336Z  ,  ,79,9390250,,,,,,
  Replication data for: The Demand for Youth: Explaining Age Differences in the Volatility of Hours  ,112689,  2013-12-01T00:00:00  ,  2019-10-11T23:21:19.212Z  ,  PUBLISHED  ,53,539667,,,,,,
  Replication data for: Multinationals and Anti-sweatshop Activism  ,112326,  2010-03-01T00:00:00  ,  2019-10-11T18:32:24.747Z  ,  PUBLISHED  ,28,63511399,,,,,,
  Replication data for: The Effect of Medicare Part D on Pharmaceutical Prices and Utilization  ,112338,  2010-03-01T00:00:00  ,  2019-10-11T18:36:14.367Z  ,  PUBLISHED  ,25,12588620,,,,,,
  Replication data for: Aggregation and the PPP Puzzle in a Sticky-Price Model  ,112459,  2011-10-01T00:00:00  ,  2019-10-11T20:04:17.483Z  ,  PUBLISHED  ,55,12539838,,,,,,
  Replication data for: The Impact of Regulations on the Supply and Quality of Care in Child Care Markets  ,112447,  2011-08-01T00:00:00  ,  2019-10-11T19:57:59.026Z  ,  PUBLISHED  ,77,213021369,,,,,,
  Replication data for: Imperfect Public Monitoring with Costly Punishment: An Experimental Study  ,112568,  2012-12-01T00:00:00  ,  2019-10-11T22:02:34.136Z  ,  PUBLISHED  ,5,1957320,,,,,,
  Replication data for: The Inflation-Output Trade-Off with Downward Wage Rigidities  ,112435,  2011-06-01T00:00:00  ,  2019-10-11T19:51:18.789Z  ,  PUBLISHED  ,20,327589,,,,,,
  Replication data for: Maturity  Indebtedness  and Default Risk ,112556,  2012-05-01T00:00:00  ,  2019-10-11T21:55:10.356Z  ,  PUBLISHED  ,34,1092710,,,,,,
  Replication data for: Does Competition for Capital Discipline Governments? Decentralization  Globalization   and Public Policy  ,112314,  2005-06-01T00:00:00  ,  2019-10-11T18:28:42.786Z  ,  PUBLISHED  ,3,60360,,,,,,
  Replication data for: Remittances and Income Smoothing  ,112423,  2011-05-01T00:00:00  ,  2019-10-11T19:47:19.597Z  ,  PUBLISHED  ,4,18605973,,,,,,
  Replication data for: Katrina's Children: Evidence on the Structure of Peer Effects from Hurricane Evacuees  ,112544,  2012-05-01T00:00:00  ,  2019-10-11T21:45:20.54Z  ,  PUBLISHED  ,82,1053664,,,,,,
  Replication data for: The Bidder's Curse  ,112411,  2011-04-01T00:00:00  ,  2019-10-11T19:42:48.156Z  ,  PUBLISHED  ,23,93021580,,,,,,
  Replication data for: On the Timing and Pricing of Dividends  ,112532,  2012-06-01T00:00:00  ,  2019-10-11T21:39:55.332Z  ,  PUBLISHED  ,7,211939,,,,,,
  Replication data for: The Employment of Low-Skilled Immigrant Men in the United States  ,112520,  2012-05-01T00:00:00  ,  2019-10-11T21:25:19.015Z  ,  PUBLISHED  ,8,525380399,,,,,,
  Replication data for: Shadowy Banks and Financial Contagion during the Great Depression: A Retrospective on Friedman and Schwartz  ,112641,  2013-05-01T00:00:00  ,  2019-10-11T22:39:56.825Z  ,  PUBLISHED  ,6,1108542,,,,,,
  Replication data for: Ownership Consolidation and Product Characteristics: A Study of the US Daily Newspaper Market  ,112653,  2013-08-01T00:00:00  ,  2019-10-11T22:47:24.036Z  ,  PUBLISHED  ,14,165158,,,,,,
  Replication data for: Intergenerational Occupational Mobility in Great Britain and the United States since 1850: Comment  ,112665,  2013-08-01T00:00:00  ,  2019-10-11T23:02:08.438Z  ,  PUBLISHED  ,8,7474492,,,,,,
  Replication data for: Incarceration and Incapacitation: Evidence from the 2006 Italian Collective Pardon  ,112677,  2013-10-01T00:00:00  ,  2019-10-11T23:16:15.019Z  ,  PUBLISHED  ,13,46171757,,,,,,
  Data and Code for: Are We Approaching an Economic Singularity?  ,111881,  2019-09-17T12:30:49  ,  2019-09-17T16:30:49.939Z  ,  ,15,7804821,,,,,,
  Patient Cost Sharing and Healthcare Utilization in Early Childhood: Evidence from a Regression Discontinuity Design  ,111421,  2019-08-16T12:43:09  ,  2019-08-16T16:43:09.872Z  ,  PUBLISHED  ,117,320889112,,,,,,
  Replication package for: The Perils of High-Powered Incentives: Evidence from Colombia's False Positives  ,111542,  2019-08-22T21:55:20  ,  2019-08-23T01:55:20.922Z  ,  PUBLISHED  ,99,265753566,,,,,,
  Replication data and code for: Rural Roads and Local Economic Development  ,109703,  2019-05-10T11:37:08  ,  2019-05-10T15:37:08.385Z  ,  PUBLISHED  ,91,9948828786,,,,,,
  Replication data for: The Burden of the Nondiversifiable Risk of Entrepreneurship  ,112349,  2010-06-01T00:00:00  ,  2019-10-11T18:44:08.047Z  ,  PUBLISHED  ,5,1450627,,,,,,
  Replication data for: Earnings Losses of Displaced Workers Revisited  ,112337,  2010-03-01T00:00:00  ,  2019-10-11T18:36:07.225Z  ,  PUBLISHED  ,2,57740,,,,,,
  Replication data for: Nudging Farmers to Use Fertilizer: Theory and Experimental Evidence from Kenya  ,112458,  2011-10-01T00:00:00  ,  2019-10-11T20:04:06.349Z  ,  PUBLISHED  ,6,1089346,,,,,,
  Replication data for: The Effect of Evaluation on Teacher Performance  ,112579,  2012-12-01T00:00:00  ,  2019-10-11T22:08:35.408Z  ,  PUBLISHED  ,3,156133,,,,,,
  Replication data for: Do Rural Banks Matter? Evidence from the Indian Social Banking Experiment  ,112313,  2005-06-01T00:00:00  ,  2019-10-11T18:28:34.566Z  ,  PUBLISHED  ,6,1807449,,,,,,
  Replication data for: Peer Effects  Teacher Incentives and the Impact of Tracking: Evidence from a Randomized Evaluation in Kenya  ,112446,  2011-08-01T00:00:00  ,  2019-10-11T19:57:41.082Z  ,  PUBLISHED  ,6,6341564,,,,,,
  Replication data for: Lost in Transit: Product Replacement Bias and Pricing to Market  ,112567,  2012-12-01T00:00:00  ,  2019-10-11T22:01:39.05Z  ,  PUBLISHED  ,68,794492,,,,,,
  Replication data for: Contractibility and the Design of Research Agreements  ,112325,  2010-03-01T00:00:00  ,  2019-10-11T18:32:16.129Z  ,  PUBLISHED  ,4,901458,,,,,,
  Replication data for: Strike Three: Discrimination  Incentives  and Evaluation  ,112434,  2011-06-01T00:00:00  ,  2019-10-11T19:50:43.228Z  ,  PUBLISHED  ,8,524223679,,,,,,
  Replication data for: The Rise of the Service Economy  ,112555,  2012-05-01T00:00:00  ,  2019-10-11T21:53:28.349Z  ,  PUBLISHED  ,10,1080898,,,,,,
  Replication data for: Oaxaca-Blinder as a Reweighting Estimator  ,112422,  2011-05-01T00:00:00  ,  2019-10-11T19:47:12.745Z  ,  PUBLISHED  ,5,46389,,,,,,
  Replication data for: Organ Allocation Policy and the Decision to Donate  ,112543,  2012-05-01T00:00:00  ,  2019-10-11T21:44:50.301Z  ,  PUBLISHED  ,25,68582018,,,,,,
  Data and Code for The Labor Market Impact of Immigration: Job Creation vs. Job Competition  ,112301,  2019-10-11T11:33:19  ,  2019-10-11T15:33:19.375Z  ,  PUBLISHED  ,176,1008975774,,,,,,
  Replication data for: The Rich Domain of Uncertainty: Source Functions and Their Experimental Implementation  ,112410,  2011-04-01T00:00:00  ,  2019-10-11T19:42:19.827Z  ,  PUBLISHED  ,27,4569753,,,,,,
  Replication data for: Evaluating Microfoundations for Aggregate Price Rigidities: Evidence from Matched Firm-Level Data on Product Prices and Unit Labor Cost  ,112531,  2012-06-01T00:00:00  ,  2019-10-11T21:39:47.078Z  ,  PUBLISHED  ,5,99040,,,,,,
  Replication data for: Course Requirements for Bachelor's Degrees in Economics  ,112640,  2013-05-01T00:00:00  ,  2019-10-11T22:39:48.12Z  ,  PUBLISHED  ,5,401271,,,,,,
  Replication data for: The Growth of Low-Skill Service Jobs and the Polarization of the US Labor Market  ,112652,  2013-08-01T00:00:00  ,  2019-10-11T22:46:35.209Z  ,  PUBLISHED  ,62,5661413,,,,,,
  Replication data for: Limited Life Expectancy  Human Capital and Health Investments ,112664,  2013-08-01T00:00:00  ,  2019-10-11T23:01:22.96Z  ,  PUBLISHED  ,14,632522984,,,,,,
  Replication data for: The Cost of Contract Renegotiation: Evidence from the Local Public Sector  ,112676,  2013-10-01T00:00:00  ,  2019-10-11T23:15:54.657Z  ,  PUBLISHED  ,21,921393,,,,,,
  Replication data for: Conclusions Regarding Cross-Group Differences in Happiness Depend on Difficulty of Reaching Respondents  ,112688,  2013-12-01T00:00:00  ,  2019-10-11T23:21:01.824Z  ,  PUBLISHED  ,14,36196488,,,,,,
  Data and Code for: Housing Supply Dynamics under Rent Control: What Can Evictions Tell Us?  ,111664,  2019-08-30T20:13:55  ,  2019-08-31T00:13:55.445Z  ,  ,5665,1210240241,,,,,,
  Data and Code for: Inducing Cooperation through Weighted Voting and Veto Power  ,111882,  2019-09-17T13:20:50  ,  2019-09-17T17:20:50.841Z  ,  ,3,92516,,,,,,
  Replication data for: Access to Credit by Firms in Sub-Saharan Africa: How Relevant Is Gender?  ,112623,  2013-05-01T00:00:00  ,  2019-10-11T22:34:12.745Z  ,  PUBLISHED  ,4,7039213,,,,,,
  Replication data for: Not the Opium of the People: Income and Secularization in a Panel of Prussian Counties  ,112635,  2013-05-01T00:00:00  ,  2019-10-11T22:35:48.184Z  ,  PUBLISHED  ,4,190362,,,,,,
  Replication data for: The Sensitivity of Long-Term Interest Rates to Economic News: Evidence and Implications for Macroeconomic Models  ,112308,  2005-03-01T00:00:00  ,  2019-10-11T18:26:33.502Z  ,  PUBLISHED  ,3,356873,,,,,,
  Replication data for: Preferences and Incentives of Appointed and Elected Public Officials: Evidence from State Trial Court Judges  ,112647,  2013-06-01T00:00:00  ,  2019-10-11T22:43:26.562Z  ,  PUBLISHED  ,70,1260110,,,,,,
  Replication data for: Participation  ,112429,  2011-06-01T00:00:00  ,  2019-10-11T19:48:54.898Z  ,  PUBLISHED  ,4,230727,,,,,,
  Replication data for: When Should Sellers Use Auctions?  ,112659,  2013-08-01T00:00:00  ,  2019-10-11T22:54:59.216Z  ,  PUBLISHED  ,29,21457788,,,,,,
  Replication data for: Real-Time Search in the Laboratory and the Market  ,112417,  2011-04-01T00:00:00  ,  2019-10-11T19:44:40.604Z  ,  PUBLISHED  ,34,703620,,,,,,
  Replication data for: Taxes  Cigarette Consumption  and Smoking Intensity: Comment,112538,  2012-06-01T00:00:00  ,  2019-10-11T21:43:22.447Z  ,  PUBLISHED  ,5,149230,,,,,,
  Replication data for: Reference Points and Effort Provision  ,112405,  2011-04-01T00:00:00  ,  2019-10-11T19:14:05.896Z  ,  PUBLISHED  ,5,188859,,,,,,
  Replication data for: Why Does Trend Growth Affect Equilibrium Employment? A New Explanation of an Old Puzzle  ,112526,  2012-06-01T00:00:00  ,  2019-10-11T21:35:30.941Z  ,  PUBLISHED  ,63,922882620,,,,,,
  Replication data for: Screening  Competition  and Job Design: Economic Origins of Good Jobs  ,112514,  2012-04-01T00:00:00  ,  2019-10-11T21:03:25.82Z  ,  PUBLISHED  ,9,2704381,,,,,,
  Replication data for: The Internet and Local Wages: A Puzzle  ,112502,  2012-02-01T00:00:00  ,  2019-10-11T20:50:56.164Z  ,  PUBLISHED  ,5,12298861,,,,,,
  Replication data for: Risk Matters: The Real Effects of Volatility Shocks: Comment  ,112720,  2014-12-01T00:00:00  ,  2019-10-12T01:27:48.587Z  ,  PUBLISHED  ,14,262280,,,,,,
  Replication data for: Are Government Spending Multipliers Greater during Periods of Slack? Evidence from Twentieth-Century Historical Data  ,112611,  2013-05-01T00:00:00  ,  2019-10-11T22:31:58.077Z  ,  PUBLISHED  ,7,269469,,,,,,
  Replication data for: A Macroeconomic Model with a Financial Sector  ,112732,  2014-02-01T00:00:00  ,  2019-10-12T01:34:31.472Z  ,  PUBLISHED  ,6,731823,,,,,,
  Codes for  A Single-Judge Solution to Beauty Contests   ,111641,  2019-08-29T22:07:22  ,  2019-08-30T02:07:22.59Z  ,  PUBLISHED  ,23,6112546,,,,,,
  Code for:  Bunching to Maximize Tax Credits: Evidence from Kinks in the U.S. Tax Schedule   ,110661,  2019-07-10T09:05:00  ,  2019-07-10T13:05:00.422Z  ,  PUBLISHED  ,53,1168866,,,,,,
  Replication data for: Genetic Diversity and the Origins of Cultural Fragmentation  ,112634,  2013-05-01T00:00:00  ,  2019-10-11T22:35:41.464Z  ,  PUBLISHED  ,4,427492,,,,,,
  Replication data for: The Lure of Authority: Motivation and Incentive Effects of Power  ,112646,  2013-06-01T00:00:00  ,  2019-10-11T22:43:05.173Z  ,  PUBLISHED  ,20,7512390,,,,,,
  Replication data for: When Optimal Choices Feel Wrong: A Laboratory Study of Bayesian Updating  Complexity  and Affect  ,112319,  2005-09-01T00:00:00  ,  2019-10-11T18:31:17.105Z  ,  PUBLISHED  ,2,2030206,,,,,,
  Replication data for: Does Disability Insurance Receipt Discourage Work? Using Examiner Assignment to Estimate Causal Effects of SSDI Receipt  ,112658,  2013-08-01T00:00:00  ,  2019-10-11T22:54:38.442Z  ,  PUBLISHED  ,22,284627,,,,,,
  Replication data for: Choice Inconsistencies among the Elderly: Evidence from Plan Choice in the Medicare Part D Program  ,112428,  2011-06-01T00:00:00  ,  2019-10-11T19:48:36.739Z  ,  PUBLISHED  ,19,259569,,,,,,
  Replication data for: Skill Dispersion and Trade Flows  ,112549,  2012-05-01T00:00:00  ,  2019-10-11T21:49:15.904Z  ,  PUBLISHED  ,6,48086678,,,,,,
  Replication data for: The Effect of Health Risk on Housing Values: Evidence from a Cancer Cluster  ,112307,  2004-12-01T00:00:00  ,  2019-10-11T18:26:18.712Z  ,  PUBLISHED  ,16,5895426,,,,,,
  Replication data for: Coordination in the Presence of Asset Markets  ,112416,  2011-04-01T00:00:00  ,  2019-10-11T19:44:31.679Z  ,  PUBLISHED  ,5,382854,,,,,,
  Replication data for: Do Matching Frictions Explain Unemployment? Not in Bad Times  ,112537,  2012-06-01T00:00:00  ,  2019-10-11T21:42:20.187Z  ,  PUBLISHED  ,93,356382,,,,,,
  Replication data for: The Long Slump  ,112404,  2011-04-01T00:00:00  ,  2019-10-11T19:13:50.815Z  ,  PUBLISHED  ,18,3379257,,,,,,
  Replication data for: Information  Animal Spirits  and the Meaning of Innovations in Consumer Confidence ,112525,  2012-06-01T00:00:00  ,  2019-10-11T21:34:29.462Z  ,  PUBLISHED  ,28,318644,,,,,,
  Replication data for: Estimating the Peace Dividend: The Impact of Violence on House Prices in Northern Ireland  ,112513,  2012-04-01T00:00:00  ,  2019-10-11T21:03:13.721Z  ,  PUBLISHED  ,12,489087,,,,,,
  Replication data for: Was the New Deal Contractionary?  ,112501,  2012-02-01T00:00:00  ,  2019-10-11T20:50:39.035Z  ,  PUBLISHED  ,19,13545770,,,,,,
  Replication data for: Comparisons of Weekly Hours over the Past Century and the Importance of Work-Sharing Policies in the 1930s  ,112610,  2013-05-01T00:00:00  ,  2019-10-11T22:31:49.905Z  ,  PUBLISHED  ,5,220311,,,,,,
  Replication data for: Immigration and the Diffusion of Technology: The Huguenot Diaspora in Prussia  ,112731,  2014-01-01T00:00:00  ,  2019-10-12T01:34:23.369Z  ,  PUBLISHED  ,7,418667,,,,,,
  Replication data for: The Effects of School Calendar Type on Maternal Employment across Racial Groups: A Story of Child Care Availability  ,112622,  2013-05-01T00:00:00  ,  2019-10-11T22:34:06.62Z  ,  PUBLISHED  ,4,145114,,,,,,
  Data + code supplement for  Health Care Demand Under Simple Prices   ,111666,  2019-08-31T13:48:35  ,  2019-08-31T17:48:35.76Z  ,  PUBLISHED  ,14,1910300,,,,,,
  Adopt or Innovate: Understanding technological responses to cap-and-trade  ,111981,  2019-09-21T10:01:29  ,  2019-09-21T14:01:29.843Z  ,  PUBLISHED  ,51,17051944,,,,,,
  Replication data for: Going to a Better School: Effects and Behavioral Responses  ,112645,  2013-06-01T00:00:00  ,  2019-10-11T22:42:08.202Z  ,  PUBLISHED  ,14,930581432,,,,,,
  Replication data for: The Political Resource Curse  ,112657,  2013-08-01T00:00:00  ,  2019-10-11T22:54:22.439Z  ,  PUBLISHED  ,16,1273300,,,,,,
  Replication data for: The Effect of Education on Adult Mortality and Health: Evidence from Britain  ,112669,  2013-10-01T00:00:00  ,  2019-10-11T23:05:01.937Z  ,  PUBLISHED  ,18,4828120,,,,,,
  Replication data for: Progressive Taxation and Long-Run Growth  ,112306,  2004-12-01T00:00:00  ,  2019-10-11T18:26:06.517Z  ,  PUBLISHED  ,6,46652,,,,,,
  Replication data for: Asymmetric Information  Adverse Selection and Online Disclosure: The Case of eBay Motors  ,112439,  2011-06-01T00:00:00  ,  2019-10-11T19:52:13.967Z  ,  PUBLISHED  ,4,288776482,,,,,,
  Replication data for: Does School Choice Lead to Sorting? Evidence from Tiebout Variation  ,112318,  2005-09-01T00:00:00  ,  2019-10-11T18:30:25.948Z  ,  PUBLISHED  ,72,80920295,,,,,,
  Replication data for: Read All about It!! What Happens Following a Technology Shock?  ,112427,  2011-06-01T00:00:00  ,  2019-10-11T19:48:27.527Z  ,  PUBLISHED  ,6,154614,,,,,,
  Replication data for: Credit Supply and Monetary Policy: Identifying the Bank Balance-Sheet Channel with Loan Applications  ,112548,  2012-05-01T00:00:00  ,  2019-10-11T21:49:02.963Z  ,  PUBLISHED  ,3,102089,,,,,,
  Replication data for: Search Dynamics in Consumer Choice under Time Pressure: An Eye-Tracking Study  ,112415,  2011-04-01T00:00:00  ,  2019-10-11T19:44:00.812Z  ,  PUBLISHED  ,46,4442414,,,,,,
  Replication data for: Credit Spreads and Business Cycle Fluctuations  ,112536,  2012-06-01T00:00:00  ,  2019-10-11T21:41:44.572Z  ,  PUBLISHED  ,37,486305,,,,,,
  Replication data for: Stationary Concepts for Experimental 2 X 2 Games: Comment  ,112403,  2011-04-01T00:00:00  ,  2019-10-11T19:13:43.492Z  ,  PUBLISHED  ,3,56446,,,,,,
  Replication data for: Ethnicity and Conflict: An Empirical Study  ,112524,  2012-06-01T00:00:00  ,  2019-10-11T21:34:19.761Z  ,  PUBLISHED  ,6,1508463,,,,,,
  Replication data for: Slow to Anger and Fast to Forgive: Cooperation in an Uncertain World  ,112512,  2012-04-01T00:00:00  ,  2019-10-11T21:02:49.924Z  ,  PUBLISHED  ,29,4152885,,,,,,
  Replication data for: Why Don't We See Poverty Convergence?  ,112500,  2012-02-01T00:00:00  ,  2019-10-11T20:50:27.978Z  ,  PUBLISHED  ,8,162740,,,,,,
  Replication data for: Term Premia and Inflation Uncertainty: Empirical Evidence from an International Panel Dataset: Reply  ,112730,  2014-01-01T00:00:00  ,  2019-10-12T01:34:17.28Z  ,  PUBLISHED  ,3,62301,,,,,,
  Replication data for: Shocking Labor Supply: A Reassessment of the Role of World War II on Women's Labor Supply  ,112621,  2013-05-01T00:00:00  ,  2019-10-11T22:33:57.918Z  ,  PUBLISHED  ,7,182715,,,,,,
  Replication data for: Modest  Secure  and Informed: Successful Development in Conflict Zones,112633,  2013-05-01T00:00:00  ,  2019-10-11T22:35:34.428Z  ,  PUBLISHED  ,3,169169,,,,,,
  Replication data for: The Great Diversification and Its Undoing  ,112656,  2013-08-01T00:00:00  ,  2019-10-11T22:53:25.482Z  ,  PUBLISHED  ,67,57826473,,,,,,
  Replication data for: Understanding the Mechanisms through Which an Influential Early Childhood Program Boosted Adult Outcomes  ,112668,  2013-10-01T00:00:00  ,  2019-10-11T23:02:38.548Z  ,  PUBLISHED  ,162,1921240,,,,,,
  Replication data for: Ethnic Polarization  Potential Conflict  and Civil Wars  ,112317,  2005-06-01T00:00:00  ,  2019-10-11T18:30:12.91Z  ,  PUBLISHED  ,5,280194,,,,,,
  Replication data for: Learning about a New Technology: Pineapple in Ghana  ,112329,  2010-03-01T00:00:00  ,  2019-10-11T18:33:08.288Z  ,  PUBLISHED  ,88,14632579,,,,,,
  Replication data for: Term Premia and Inflation Uncertainty: Empirical Evidence from an International Panel Dataset  ,112438,  2011-06-01T00:00:00  ,  2019-10-11T19:51:58.598Z  ,  PUBLISHED  ,9,1213348,,,,,,
  Replication data for: Reset Price Inflation and the Impact of Monetary Policy Shocks  ,112559,  2012-05-01T00:00:00  ,  2019-10-11T21:58:25.372Z  ,  PUBLISHED  ,66,5534982,,,,,,
  Replication data for: The Role of Trading Frictions in Real Asset Markets  ,112426,  2011-06-01T00:00:00  ,  2019-10-11T19:47:57.648Z  ,  PUBLISHED  ,24,239252136,,,,,,
  Replication data for: The Multi-unit Assignment Problem: Theory and Evidence from Course Allocation at Harvard  ,112547,  2012-05-01T00:00:00  ,  2019-10-11T21:47:46.59Z  ,  PUBLISHED  ,93,107895226,,,,,,
  Replication data for: Saving  Risk Sharing  and Preferences for Risk  ,112305,  2004-09-01T00:00:00  ,  2019-10-11T18:25:14.537Z  ,  PUBLISHED  ,5,820482,,,,,,
